control,,fire,
time,Rs,time,Rs
29/04/2016,0.399069884,30/04/2016,0.268141445
04/05/2016,0.835498017,04/05/2016,0.529998324
06/05/2016,1.381033183,06/05/2016,1.315568963
12/05/2016,1.435586699,12/05/2016,1.970211161
15/05/2016,2.144782414,16/05/2016,3.344959779
18/05/2016,5.745314508,19/05/2016,7.207348751
22/05/2016,5.199779342,22/05/2016,6.945491872
26/05/2016,4.43603011,26/05/2016,7.79652673
28/05/2016,6.727277806,29/05/2016,7.99291939
02/06/2016,7.76379462,02/06/2016,10.08777443
05/06/2016,7.327366488,05/06/2016,9.956845986
10/06/2016,8.036562203,09/06/2016,10.74241662
14/06/2016,8.527543852,14/06/2016,11.46252304
18/06/2016,8.145669236,17/06/2016,12.18262946
22/06/2016,6.836384839,21/06/2016,11.72437992
24/06/2016,9.127632534,24/06/2016,12.05170102
03/07/2016,10.69004525,03/07/2016,12.83727166
12/07/2016,12.49685772,13/07/2016,15.97955421
19/07/2016,14.14655606,18/07/2016,16.89605329
31/07/2016,11.0042735,31/07/2016,13.49191386
07/08/2016,9.747360483,07/08/2016,10.28416709
17/08/2016,8.333333333,17/08/2016,9.511689291
10/09/2016,4.562594268,10/09/2016,8.019105078
15/09/2016,5.693815988,15/09/2016,6.165158371
24/09/2016,3.808446456,24/09/2016,3.996983409
30/09/2016,1.923076923,01/10/2016,2.677224736
11/10/2016,0.980392157,11/10/2016,2.30015083
22/10/2016,1.546003017,15/10/2016,1.828808446
mean,6.582104352,22/10/2016,2.111613876
,,29/10/2016,1.131221719
,,07/11/2016,0.452488688
,,mean,8.510453327
