O'Neill2002-control,,O'Neill2002-burned,
X,Y,X,Y
144.09041980624326,0.2855101305600889,143.99354144241119,0.24014180179867362
149.1280947255113,0.3180503229278797,149.1280947255113,0.38559064550852473
156.20021528525294,0.45151090315635956,156.20021528525294,0.23074477412410155
163.17545748116254,0.7593612191395533,163.17545748116254,0.49121605784923084
171.11948331539287,0.8122254678981908,171.21636167922497,0.45335992569186434
184.10118406889129,0.7101299090246189,177.12594187298168,0.4294973349769089
177.12594187298168,0.958731205944651,184.19806243272336,0.45408694746345346
191.1248654467169,1.0714103571304558,191.07642626480086,0.6621334508142644
207.06135629709365,1.761818986770374,207.06135629709365,0.9150447932219868
212.19590958019376,1.2439613788673216,212.19590958019378,0.8125097659640961
229.14962325080734,1.4807979443730686,229.2465016146394,0.5170936924893228
237.9655543595264,1.382501345532831,238.15931108719053,0.4954154224105003
