O'Neill2002-control,,O'Neill2002-burned,
X,Y,X,Y
143.1042886,0.400888845,143.013367,0.30528335
149.0776674,0.380102676,149.0246655,0.241430133
155.9860663,0.626309808,156.0477529,0.369633347
162.9738787,0.829449097,163.0369949,0.589999138
171.0270894,0.870638624,171.0096485,0.660475305
178.0931716,1.01692887,177.8933156,0.608663961
184.0701243,1.039208955,184.0028266,0.728271397
190.9546492,0.997733512,207.0019931,0.86822739
198.095999,1.050999062,190.9921758,0.449929176
212.1106872,1.427991794,198.0840263,0.406727112
207.0691836,1.67787296,212.0479284,0.671748379
229.0144599,1.118452053,228.9314367,0.618022979
240.0806286,0.96578546,240.0433879,0.517035096
