fire,,control,
X,Y,X,Y
2016/04/29,0.39906988436398905,2016/04/30,0.26814144461202716
2016/05/04,0.8354980168705595,2016/05/04,0.5299983241159651
2016/05/06,1.3810331825037636,2016/05/06,1.3155689626277791
2016/05/12,1.4355866990670805,2016/05/12,1.970211161387617
2016/05/15,2.1447824143902494,2016/05/16,3.3449597787832985
2016/05/18,5.745314507569397,2016/05/19,7.207348751466391
2016/05/22,5.1997793419362,2016/05/22,6.945491871962453
2016/05/26,4.436030110049714,2016/05/26,7.7965267303502515
2016/05/28,6.727277805709171,2016/05/29,7.992919389978205
2016/06/02,7.763794620412263,2016/06/02,10.087774426009709
2016/06/05,7.327366487905699,2016/06/05,9.95684598625774
2016/06/10,8.036562203228868,2016/06/09,10.742416624769554
2016/06/14,8.527543852298741,2016/06/14,11.462523043405383
2016/06/18,8.14566923635551,2016/06/17,12.18262946204122
2016/06/22,6.836384838835812,2016/06/21,11.724379922909328
2016/06/24,9.12763253449527,2016/06/24,12.05170102228925
2016/07/03,10.69004524886877,2016/07/03,12.837271660801065
2016/07/12,12.496857717445941,2016/07/13,15.97955421484832
2016/07/19,14.146556058320755,2016/07/18,16.896053293112104
2016/07/31,11.004273504273499,2016/07/31,13.491913859560903
2016/08/07,9.7473604826546,2016/08/07,10.284167085637662
2016/08/17,8.333333333333329,2016/08/17,9.51168929110105
2016/09/10,4.562594268476609,2016/09/10,8.0191050779286
2016/09/15,5.6938159879336325,2016/09/15,6.165158371040718
2016/09/24,3.808446455505276,2016/09/24,3.9969834087481146
2016/09/30,1.923076923076927,2016/10/01,2.6772247360482666
2016/10/11,0.9803921568627416,2016/10/11,2.3001508295625968
2016/10/22,1.5460030165912428,2016/10/15,1.828808446455497
,,2016/10/22,2.1116138763197583
,,2016/10/29,1.1312217194570025
,,2016/11/07,0.4524886877827967
