control,,fire,
X,Y,X,Y
15/06/2015,5.927856843,16/06/2015,5.84929698
25/06/2015,6.57153518,22/06/2015,7.120393794
01/07/2015,7.841571568,25/06/2015,10.35955214
28/07/2015,8.505751466,02/07/2015,11.1561085
08/08/2015,7.256570114,28/07/2015,12.45141837
14/08/2015,6.789452639,08/08/2015,10.64984365
30/08/2015,6.33665091,13/08/2015,9.945809424
03/09/2015,4.92098274,30/08/2015,8.388220962
10/09/2015,4.61398953,03/09/2015,6.341422825
21/09/2015,3.396055386,10/09/2015,5.718599526
04/10/2015,2.74824139,21/09/2015,3.680143403
09/10/2015,2.566060273,04/10/2015,3.316417424
16/10/2015,2.100003224,09/10/2015,2.566060273
,,16/10/2015,2.384303326
