control,,fire,
X,Y,X,Y
2015/06/16,-0.6920973626235671,2015/06/16,0.7587505568849338
2015/06/23,-0.35919116577642285,2015/06/23,0.050071419057633904
2015/06/26,-0.6203721139581795,2015/06/26,0.08646987769199121
2015/07/02,-1.14281055807907,2015/07/02,0.270873425221259
2015/07/29,-0.9267927867517383,2015/07/29,-0.10830589096231513
2015/08/09,-0.3716684502294161,2015/08/09,-0.3345045140212548
2015/08/14,0.29667001945843907,2015/08/14,0.1478229052323421
2015/08/31,1.1105640498050295,2015/08/31,-1.0099619251454826
2015/09/04,0.8490386367150577,2015/09/04,-0.7133776391753059
2015/09/11,1.6656883863273428,2015/09/11,-0.529242008796869
2015/09/22,0.9930555874504527,2015/09/22,-0.5693453788884337
2015/10/04,0.4541746850442525,2015/10/04,-0.9297016015321837
2015/10/10,0.8990396318359046,2015/10/10,-0.3509546270822881
2015/10/16,0.9867174331393596,2015/10/16,-0.44180150554129405
